CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1111.70402,3.7056800666666665,263.46093690020894,71.10114667086633,4.2193412349413615,269.873581668
1,576000,2137.16313,3.71035265625,274.07520776509284,38.47545508285723,7.797178730022747,140.382836509
1,691200,2564.738268,3.7105588368055553,286.41348759455167,33.50400482862309,8.954153437313991,116.977748185
1,806400,2992.309764,3.710701592261905,284.38317899016,28.51347000887814,10.52134306720964,100.264263555
1,940800,3491.498202,3.711201320153062,299.6308969284706,25.74670375477884,11.651977000912868,85.928066894
1,1171200,4345.999507,3.710723622780055,314.256700232397,21.694674301530924,13.828278582584206,69.034882265
1,1324800,4917.307283,3.711735569897343,322.6281773226333,19.684799391956076,15.240185791407704,61.013887737
1,1516800,5629.890968,3.711689720464135,334.0046808767169,17.799781726203882,16.854139259379576,53.292012793
1,1670400,6200.396825,3.7119233866139845,337.75397205522916,16.34346432769198,18.35596137911147,48.388666544
1,1804800,6699.26978,3.711918096187943,349.51003243640906,15.652635427759886,19.16610154146638,44.784509671
1,1900800,7055.337363,3.711772602588384,352.06169151645236,14.971105085233509,20.038600911024254,42.524095765
4,691200,6290.231271,9.100450334201387,350.61290487934036,16.726836611225966,17.93525021931879,47.707418576
4,940800,8561.399503,9.1001270227466,394.87296542882353,13.842772052662138,21.671959840031192,35.056266862
4,1209600,11000.293341,9.094157854662699,457.2720373497407,12.477127854727705,24.043995019761464,27.286006656
4,1344000,12229.423994,9.099273805059525,497.98482389029164,12.223432539804426,24.54302414833796,24.545793272
4,1497600,13623.978202,9.09720766693376,545.2296832698095,12.014220690497094,24.970408628941822,22.0351552
4,1651200,15030.813167,9.10296340055717,598.7586729436842,11.959341246103584,25.084993715497628,19.973558274
4,1900800,17293.059719,9.09777973432239,743.1631588816471,12.90230962640259,23.25165095915046,17.361341816
4,2131200,19312.475859,9.06178484375,880.2097469065333,13.684746451305362,21.922218366814064,15.547142598
4,2208000,20087.043857,9.097393051177537,920.5180859805714,13.760752563389463,21.801133231488457,14.948921453
7,806400,7340.52705,9.102836123511905,400.91604985979995,16.390370657370802,18.303429877901454,40.882301078
7,1094400,9957.514604,9.098606180555555,454.76950093459993,13.707862248405803,21.885250563769663,30.142439676
7,1267200,11532.251864,9.10057754419192,470.48556698103994,12.246059035787601,24.49767709948865,26.028554105
7,1516800,13803.257569,9.100248924709916,576.9389843428095,12.547775981426634,23.90861937956683,21.748878689
7,1766400,16074.586079,9.10019592334692,645.0282248037777,12.047072685112472,24.902315096905983,18.676814784
7,1862400,16951.067917,9.10173320285653,683.1486969118235,12.099590524077527,24.79422749084081,17.711503482
7,2035200,19740.738304,9.699655220125786,915.6371186445333,13.927415560815287,21.540249064158644,15.210627963
7,2169600,19745.935628,9.101187144174041,907.8203015906666,13.805938229329847,21.729779969800884,15.207787494
7,2361600,21485.35415,9.097795625846883,946.2803959145384,13.225897510132063,22.682770660378758,13.976721453
7,2400000,21838.829439,9.09951226625,1014.086064409846,13.943812676538164,21.514918979425154,13.750127495
