CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1112.239829,3.707466096666667,54.79932307692317,14.781789060813923,20.295242934787304,269.744008335
1,403200,1494.887485,3.707558246527778,56.58393264248717,11.356279498059354,26.417102542365765,200.697953778
1,499200,1851.22335,3.708380108173077,60.381602564102664,9.785796268508841,30.656677470939623,162.065858688
1,595200,2207.602985,3.7090103914650534,68.40811450381693,9.296812720959217,32.269123731369184,135.902192136
1,691200,2564.760195,3.7105905598958326,74.90141071428583,8.761783622736601,34.23960382010665,116.977551413
1,806400,2991.474298,3.7096655481150798,88.65034375000012,8.890991132176365,33.74201993232278,100.292799284
1,902400,3348.84967,3.7110479499113476,80.85647674418615,7.24385129236362,41.414433826969415,89.589004914
1,998400,3705.213235,3.7111510767227567,84.54992307692315,6.846189747013352,43.81999492942405,80.972158198
1,1094400,4061.683432,3.711333545321637,95.57502816901417,7.059758781876304,42.49436974676175,73.866143878
1,1209600,4489.203466,3.711312389219577,97.47796875000009,6.514559478838194,46.05069628645128,66.831095912
1,1305600,4844.491813,3.7105482636335783,101.61903389830518,6.293328823391565,47.66952568645947,61.930610654
1,1401600,5202.101649,3.711545126284247,110.67454545454555,6.382968899959409,47.00007233341021,57.673323832
1,1497600,5558.231741,3.711426109107906,114.30103846153857,6.169658803681824,48.6250552171493,53.977276906
1,1612800,5986.231667,3.7117011824156747,120.83206250000016,6.05604208848618,49.537304334519675,50.119496127
1,1708800,6342.494715,3.711665914676966,134.10922222222237,6.343880838755962,47.2896650528559,47.303837377
1,1804800,6697.624576,3.7110065248226953,136.9636976744187,6.1353825837720235,48.89670626139837,44.795684462
4,710400,6461.061337,9.094962467623875,137.65920454545463,6.39388041570575,46.919864072385266,46.447169565
4,844800,7689.35025,9.101977095170456,164.0358108108109,6.402502848906865,46.856675753173725,39.031128735
4,960000,8739.221627,9.103355861458335,189.37460606060617,6.503857608966346,46.126471094080244,34.343873998
4,1075200,9784.09758,9.099793136160713,214.3248965517242,6.575151590522966,45.62632448389513,30.678431187
4,1209600,11001.10011,9.094824826388889,248.3858076923078,6.77739859944063,44.264771445604566,27.285772333
4,1324800,12064.181445,9.10641715353261,277.71354166666674,6.9100624395601065,43.4149477843355,24.88197874
4,1440000,13107.877835,9.102692940972222,313.0089090909092,7.168488706303646,41.84982529667565,22.90186796
4,1555200,14159.626186,9.104697907664608,373.6225000000001,7.92155430254408,37.871355613083686,21.202026919
4,1670400,15189.873418,9.093554488745209,387.08426315789484,7.650834446405848,39.211409173927656,19.765294471
4,1766400,16078.032049,9.10214676687047,421.1017777777779,7.863534581267846,38.150782819045055,18.673714993
4,1881600,17114.495978,9.095714274022109,491.1610000000001,8.617050500965744,34.814696741811815,17.544248222
4,1996800,18175.209015,9.10216797626202,547.7262000000001,9.048961981689656,33.15297385568006,16.520958796
4,2112000,19209.835436,9.095566020833333,644.9341333333334,10.081212726517945,29.758324532808473,15.631383432
4,2227200,20282.604286,9.106772757722702,749.1043571428573,11.090965060268234,27.04904382709727,14.805634161
4,2342400,21308.331558,9.096794551741803,840.2470769230771,11.843220095346037,25.330948642750403,14.094925672
4,2419200,22003.813994,9.09549189566799,876.0069230769232,11.957466116499686,25.088927459810282,13.649967599
7,844800,7842.522155,9.283288535748106,237.11672222222234,9.074001580810405,33.06148861979885,38.268079517
7,960000,8913.980092,9.285395929166667,263.80225000000013,8.882191952594194,33.77544660159928,33.669887018
7,1075200,9980.371935,9.282339969308035,289.8757931034484,8.718026023918803,34.411459564002115,30.075039832
7,1190400,10513.773043,8.832134612735214,316.90655555555566,9.047636932524412,33.157829192013786,28.549857281
7,1305600,9683.97947,7.417263687193628,299.41406896551734,9.280092702204914,32.327263274937025,30.994177175
7,1420800,11188.602544,7.874861024774774,349.3229200000001,9.371342208843664,32.01249013368569,26.82716098
7,1555200,14442.518775,9.286599006558642,448.7906500000001,9.329322937427401,32.15667439235695,20.787694524
7,1670400,15510.288491,9.28537385715996,500.00483333333347,9.679178326486035,30.994366451445792,19.358169524
7,1785600,16580.081795,9.285440073364695,557.772411764706,10.101403539560076,29.69884321768866,18.110260254
7,1900800,10637.543437,5.596350713909933,417.55262962962973,11.78243489954046,25.461630177282,28.217843844
7,2035200,18903.591682,9.288321384630501,697.4720666666667,11.078805885752299,27.078730604514845,15.884228796
7,2150400,19978.689398,9.29068517392113,744.0633571428573,11.184694577375936,26.82236854342281,15.031911557
7,2265600,21037.868163,9.285782204713984,865.8819230769232,12.359751222385393,24.27233320494787,14.274176297
7,2380800,22094.564737,9.280311129452285,997.8644615384616,13.564152276080833,22.11712120992796,13.593181037
7,2496000,23178.552113,9.286278891426283,1168.9470833333335,15.147390241652495,19.80539190012125,12.958148797
7,2592000,24073.182475,9.287493238811729,1274.21425,15.898099756485179,18.870179744445466,12.476786974
7,2688000,24970.867321,9.289757187872024,1427.017,17.166799930880728,17.4755924929457,12.029849631
7,2764800,25665.155274,9.282825258246527,1588.919090909091,18.59661973956925,16.131963991373674,11.703943798
7,2841600,26389.866291,9.286974342271959,1606.432909090909,18.28743510849577,16.404706194179706,11.383877288
